Subject,Start Date,Start Time,End Date,End Time,Description,Location
HEL600-G uke 8,2015-02-16,09:15,2015-02-16,15:00,,CG C2 021
HEL600-G grom 16.02,2015-02-16,13:15,2015-02-16,14:00,,CG C3 090
HEL600-G uke 8,2015-02-17,09:15,2015-02-17,15:00,,CG C2 021
HEL600-G grom tirs-tor uke 8,2015-02-17,12:15,2015-02-17,14:00,,CG C3 090
HEL600-G uke 8,2015-02-18,09:15,2015-02-18,15:00,,CG C2 021
HEL600-G grom tirs-tor uke 8,2015-02-18,12:15,2015-02-18,14:00,,CG C3 090
HEL600-G uke 8,2015-02-19,09:15,2015-02-19,15:00,,CG C2 021
HEL600-G grom tirs-tor uke 8,2015-02-19,12:15,2015-02-19,14:00,,CG C3 090
HEL600-G muntlig eksamen,2015-03-24,09:15,2015-03-24,15:00,,CG C2 021
HEL600-G muntlig eksamen,2015-03-25,09:15,2015-03-25,15:00,,CG C2 021
