Subject,Start Date,Start Time,End Date,End Time,Description,Location
.IS-110-1 for,2015-01-06,13:15,2015-01-06,15:00,Larsen Even Åby. Nilsen. Hallgeir,CK D3 018 sem
.IS-110-1 lab 1 (tom. uke 18),2015-01-07,09:15,2015-01-07,11:00,Larsen Even Åby. Nilsen. Hallgeir,CK D3 016 pclab
.IS-110-1 lab 1 (tom. uke 18),2015-01-07,11:15,2015-01-07,13:00,Larsen Even Åby. Nilsen. Hallgeir,CK D3 016 pclab
.BE-107-1 sem,2015-01-08,12:15,2015-01-08,16:00,Omland Hans-Olav,CK B2 014 sem
.TFL102-1 for,2015-01-09,09:15,2015-01-09,12:00,Moe Carl-Erik,CK B2 001 aud 
.TFL102-1 gr,2015-01-09,12:15,2015-01-09,14:00,Moe Carl-Erik,CK B2 016. CK B2 017. CK B2 018. CK B2 019. CK B2 021. CK B2 022. CK B2 023. CK B2 024. CK B2 026. CK B2 027
.IS-105-1 for,2015-01-12,09:15,2015-01-12,12:00,Gailis Janis,CK D3 018 sem
.IS-105-1 lab 1 (tom. uke 18),2015-01-12,12:15,2015-01-12,15:00,Gailis Janis,CK D3 016 pclab
.IS-105-1 lab 2 (tom. uke 18),2015-01-13,08:15,2015-01-13,11:00,Gailis Janis,CK D3 016 pclab
.IS-110-1 lab 1 (tom. uke 18),2015-01-14,09:15,2015-01-14,11:00,Larsen Even Åby. Nilsen. Hallgeir,CK D3 016 pclab
.IS-110-1 lab 1 (tom. uke 18),2015-01-14,11:15,2015-01-14,13:00,Larsen Even Åby. Nilsen. Hallgeir,CK D3 016 pclab
.IS-305-1 for,2015-01-15,08:15,2015-01-15,12:00,Busch Peter Andre. Munkvold Bjørn Erik,CK B2 014 sem
.BE-107-1 sem,2015-01-15,12:15,2015-01-15,16:00,Omland Hans-Olav,CK B2 014 sem
.TFL102-1 for,2015-01-16,09:15,2015-01-16,12:00,Moe Carl-Erik,CK B2 001 aud 
.TFL102-1 gr,2015-01-16,12:15,2015-01-16,14:00,Moe Carl-Erik,CK B2 016. CK B2 017. CK B2 018. CK B2 019. CK B2 021. CK B2 022. CK B2 023. CK B2 024. CK B2 026. CK B2 027
.IS-105-1 for,2015-01-19,09:15,2015-01-19,12:00,Gailis Janis,CK D3 018 sem
.IS-105-1 lab 1 (tom. uke 18),2015-01-19,12:15,2015-01-19,15:00,Gailis Janis,CK D3 016 pclab
.IS-105-1 lab 2 (tom. uke 18),2015-01-20,08:15,2015-01-20,11:00,Gailis Janis,CK D3 016 pclab
.IS-110-1 for,2015-01-20,13:15,2015-01-20,15:00,Larsen Even Åby. Nilsen. Hallgeir,CK D3 018 sem
.IS-110-1 lab 1 (tom. uke 18),2015-01-21,09:15,2015-01-21,11:00,Larsen Even Åby. Nilsen. Hallgeir,CK D3 016 pclab
.IS-110-1 lab 1 (tom. uke 18),2015-01-21,11:15,2015-01-21,13:00,Larsen Even Åby. Nilsen. Hallgeir,CK D3 016 pclab
.IS-305-1 for,2015-01-22,08:15,2015-01-22,12:00,Busch Peter Andre. Munkvold Bjørn Erik,CK B2 014 sem
.TFL102-1 for,2015-01-23,09:15,2015-01-23,12:00,Moe Carl-Erik,CK B2 001 aud 
.TFL102-1 gr,2015-01-23,12:15,2015-01-23,14:00,Moe Carl-Erik,CK B2 016. CK B2 017. CK B2 018. CK B2 019. CK B2 021. CK B2 022. CK B2 023. CK B2 024. CK B2 026. CK B2 027
.IS-105-1 for,2015-01-26,09:15,2015-01-26,12:00,Gailis Janis,CK D3 018 sem
