Subject,Start Date,Start Time,End Date,End Time,Description,Location
".SV-200-2 for 1 tirs (2t)",2015-01-06,08:15,2015-01-06,10:00,"Knudsen Jon Paschen, Pløger John","CK H1 058 aud"
".SV-200-2 gr tirs (2t)",2015-01-06,10:15,2015-01-06,12:00,"Knudsen Jon Paschen, Pløger John","CK 47 101, CK 47 116, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".SV-200-2 for 2 tirs (1t)",2015-01-06,13:15,2015-01-06,14:00,"Knudsen Jon Paschen, Pløger John","CK H1 058 aud"
".SV-200-2 for 1 fre (2t)",2015-01-09,08:15,2015-01-09,10:00,"Knudsen Jon Paschen, Pløger John","CK H1 058 aud"
".SV-200-2 gr fre (2t)",2015-01-09,10:15,2015-01-09,12:00,"Knudsen Jon Paschen, Pløger John","CK 47 101, CK 47 116, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".SV-200-2 for 2 fre (1t)",2015-01-09,12:15,2015-01-09,13:00,"Knudsen Jon Paschen, Pløger John","CK H1 058 aud"
".SV-209-1 for",2015-01-12,09:15,2015-01-12,12:00,"Skarpenes Ove","CK B3 007 aud "
".SV-209-1 gr",2015-01-12,12:15,2015-01-12,14:00,"Skarpenes Ove","CK 47 101, CK 47 116, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".SV-210-1 gr uke 3-10",2015-01-12,14:15,2015-01-12,16:00,"","CK 50 136, CK 50 137a, CK 50 137b, CK 50 140, CK 50 141, CK 50 142, CK 50 144, CK 50 145, CK 50 149, CK 50 150, CK 51 122e, CK 51 122f, CK 51 122g, CK 50 114c , CK 50 116b, CK 50 116f"
".SV-200-2 for 1 tirs (2t)",2015-01-13,08:15,2015-01-13,10:00,"Knudsen Jon Paschen, Pløger John","CK H1 058 aud"
".SV-200-2 gr tirs (2t)",2015-01-13,10:15,2015-01-13,12:00,"Knudsen Jon Paschen, Pløger John","CK 47 101, CK 47 116, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".SV-200-2 for 2 tirs (1t)",2015-01-13,13:15,2015-01-13,14:00,"Knudsen Jon Paschen, Pløger John","CK H1 058 aud"
".SV-210-1 for uke 3-7",2015-01-14,13:15,2015-01-14,16:00,"","CK B2 003 aud"
".SV-200-2 for 1 fre (2t)",2015-01-16,08:15,2015-01-16,10:00,"Knudsen Jon Paschen, Pløger John","CK H1 058 aud"
