Subject,Start Date,Start Time,End Date,End Time,Description,Location
"KJ-113-1 forel tirs ",2015-01-06,16:15,2015-01-06,18:00,"Svendsen Monica Lian","CK J1 064 aud"
"KJ-113-1 forel ons",2015-01-07,08:15,2015-01-07,09:00,"Svendsen Monica Lian","CK J1 064 aud"
"BIO201-1 forel 4t 2-4.6-8.10",2015-01-07,11:15,2015-01-07,15:00,"Olsen Esben Moland","CK J2 009 sem"
"BIO201-1 forel 2t uke 2-4.6-8.10",2015-01-08,08:15,2015-01-08,10:00,"Olsen Esben Moland","CK J2 009 sem"
"MA-143-1 forel tirs",2015-01-13,08:15,2015-01-13,11:00,"Knutson Peder Kristian","CK HU 022 sem"
"KJ-113-1 forel tirs ",2015-01-13,16:15,2015-01-13,18:00,"Svendsen Monica Lian","CK J1 064 aud"
"KJ-113-1 forel ons",2015-01-14,08:15,2015-01-14,09:00,"Svendsen Monica Lian","CK J1 064 aud"
"MA-143-1 forel ons",2015-01-14,09:15,2015-01-14,12:00,"Knutson Peder Kristian","CK J1 064 aud"
"BIO201-1 forel 4t 2-4.6-8.10",2015-01-14,11:15,2015-01-14,15:00,"Olsen Esben Moland","CK J2 009 sem"
"BIO201-1 forel 2t uke 2-4.6-8.10",2015-01-15,08:15,2015-01-15,10:00,"Olsen Esben Moland","CK J2 009 sem"
"MA-143-1 forel tirs",2015-01-20,08:15,2015-01-20,11:00,"Knutson Peder Kristian","CK HU 022 sem"
"KJ-113-1 forel tirs ",2015-01-20,16:15,2015-01-20,18:00,"Svendsen Monica Lian","CK J1 064 aud"
"KJ-113-1 forel ons",2015-01-21,08:15,2015-01-21,09:00,"Svendsen Monica Lian","CK J1 064 aud"
"MA-143-1 forel ons",2015-01-21,09:15,2015-01-21,12:00,"Knutson Peder Kristian","CK J1 064 aud"
"BIO201-1 forel 4t 2-4.6-8.10",2015-01-21,11:15,2015-01-21,15:00,"Olsen Esben Moland","CK J2 009 sem"
"BIO201-1 forel 2t uke 2-4.6-8.10",2015-01-22,08:15,2015-01-22,10:00,"Olsen Esben Moland","CK J2 009 sem"
"KJ-113-1 lab forel man",2015-01-26,08:15,2015-01-26,09:00,"Svendsen Monica Lian","CK I1 066 aud"
"MA-143-1 forel tirs",2015-01-27,08:15,2015-01-27,11:00,"Knutson Peder Kristian","CK HU 022 sem"
"KJ-113-1 forel tirs ",2015-01-27,16:15,2015-01-27,18:00,"Svendsen Monica Lian","CK J1 064 aud"
"KJ-113-1 forel ons",2015-01-28,08:15,2015-01-28,09:00,"Svendsen Monica Lian","CK J1 064 aud"
"MA-143-1 forel ons",2015-01-28,09:15,2015-01-28,12:00,"Knutson Peder Kristian","CK J1 064 aud"
"BIO201-1 forel 2t uke 5",2015-01-28,11:15,2015-01-28,13:00,"Olsen Esben Moland","CK J2 009 sem"
"KJ-113-1 lab gr 5 fre",2015-01-30,12:15,2015-01-30,16:00,"Svendsen Monica Lian","CK JU 017 kjemi"
"KJ-113-1 gr",2015-02-02,12:15,2015-02-02,14:00,"Svendsen Monica Lian","CK JK 031, CK JK 032, CK JK 033, CK J1 031, CK J1 032, CK J1 057, CK J1 056, CK JK 037"
"MA-143-1 forel tirs",2015-02-03,08:15,2015-02-03,11:00,"Knutson Peder Kristian","CK HU 022 sem"
"KJ-113-1 forel tirs ",2015-02-03,16:15,2015-02-03,18:00,"Svendsen Monica Lian","CK J1 064 aud"
"KJ-113-1 forel ons",2015-02-04,08:15,2015-02-04,09:00,"Svendsen Monica Lian","CK J1 064 aud"
"MA-143-1 forel ons",2015-02-04,09:15,2015-02-04,12:00,"Knutson Peder Kristian","CK J1 064 aud"
"BIO201-1 forel 4t 2-4.6-8.10",2015-02-04,11:15,2015-02-04,15:00,"Olsen Esben Moland","CK J2 009 sem"
"BIO201-1 forel 2t uke 2-4.6-8.10",2015-02-05,08:15,2015-02-05,10:00,"Olsen Esben Moland","CK J2 009 sem"
"KJ-113-1 lab forel man",2015-02-09,08:15,2015-02-09,09:00,"Svendsen Monica Lian","CK I1 066 aud"
"MA-143-1 forel tirs",2015-02-10,08:15,2015-02-10,11:00,"Knutson Peder Kristian","CK HU 022 sem"
"KJ-113-1 forel tirs ",2015-02-10,16:15,2015-02-10,18:00,"Svendsen Monica Lian","CK J1 064 aud"
"KJ-113-1 forel ons",2015-02-11,08:15,2015-02-11,09:00,"Svendsen Monica Lian","CK J1 064 aud"
"MA-143-1 forel ons",2015-02-11,09:15,2015-02-11,12:00,"Knutson Peder Kristian","CK J1 064 aud"
"BIO201-1 forel 4t 2-4.6-8.10",2015-02-11,11:15,2015-02-11,15:00,"Olsen Esben Moland","CK J2 009 sem"
"BIO201-1 forel 2t uke 2-4.6-8.10",2015-02-12,08:15,2015-02-12,10:00,"Olsen Esben Moland","CK J2 009 sem"
"KJ-113-1 lab gr 5 fre",2015-02-13,12:15,2015-02-13,16:00,"Svendsen Monica Lian","CK JU 017 kjemi"
"KJ-113-1 gr",2015-02-16,12:15,2015-02-16,14:00,"Svendsen Monica Lian","CK JK 031, CK JK 032, CK JK 033, CK J1 031, CK J1 032, CK J1 057, CK J1 056, CK JK 037"
"MA-143-1 forel tirs",2015-02-17,08:15,2015-02-17,11:00,"Knutson Peder Kristian","CK HU 022 sem"
"KJ-113-1 forel tirs ",2015-02-17,16:15,2015-02-17,18:00,"Svendsen Monica Lian","CK J1 064 aud"
"KJ-113-1 forel ons",2015-02-18,08:15,2015-02-18,09:00,"Svendsen Monica Lian","CK J1 064 aud"
"MA-143-1 forel ons",2015-02-18,09:15,2015-02-18,12:00,"Knutson Peder Kristian","CK J1 064 aud"
"BIO201-1 forel 4t 2-4.6-8.10",2015-02-18,11:15,2015-02-18,15:00,"Olsen Esben Moland","CK J2 009 sem"
"BIO201-1 forel 2t uke 2-4.6-8.10",2015-02-19,08:15,2015-02-19,10:00,"Olsen Esben Moland","CK J2 009 sem"
"MA-143-1 forel tirs",2015-02-24,08:15,2015-02-24,11:00,"Knutson Peder Kristian","CK HU 022 sem"
"MA-143-1 forel ons",2015-02-25,09:15,2015-02-25,12:00,"Knutson Peder Kristian","CK J1 064 aud"
"KJ-113-1 forel man uke 10-12.16.19",2015-03-02,14:15,2015-03-02,16:00,"Svendsen Monica Lian","CK J1 064 aud"
"MA-143-1 forel tirs",2015-03-03,08:15,2015-03-03,11:00,"Knutson Peder Kristian","CK HU 022 sem"
"KJ-113-1 forel ons",2015-03-04,08:15,2015-03-04,09:00,"Svendsen Monica Lian","CK J1 064 aud"
