Subject,Start Date,Start Time,End Date,End Time,Description,Location
"BIO113-1 forel man",2015-01-05,09:15,2015-01-05,11:00,"Korslund Lars","CK JU 071 aud"
"KJ-113-1 forel tirs ",2015-01-06,16:15,2015-01-06,18:00,"Svendsen Monica Lian","CK J1 064 aud"
"KJ-113-1 forel ons",2015-01-07,08:15,2015-01-07,09:00,"Svendsen Monica Lian","CK J1 064 aud"
"BIO113-1 forel ons",2015-01-07,09:15,2015-01-07,11:00,"Korslund Lars","CK I1 066 aud"
"BIO205/BIO202 forel uke 2-5 ",2015-01-08,10:15,2015-01-08,12:00,"Olsen Yngvar Asbjørn","CK J1 064 aud"
"BIO113-1 forel man",2015-01-12,09:15,2015-01-12,11:00,"Korslund Lars","CK JU 071 aud"
"KJ-113-1 forel tirs ",2015-01-13,16:15,2015-01-13,18:00,"Svendsen Monica Lian","CK J1 064 aud"
"KJ-113-1 forel ons",2015-01-14,08:15,2015-01-14,09:00,"Svendsen Monica Lian","CK J1 064 aud"
"BIO113-1 forel ons",2015-01-14,09:15,2015-01-14,11:00,"Korslund Lars","CK I1 066 aud"
"BIO205/BIO202 forel uke 2-5 ",2015-01-15,10:15,2015-01-15,12:00,"Olsen Yngvar Asbjørn","CK J1 064 aud"
"BIO113-1 forel man",2015-01-19,09:15,2015-01-19,11:00,"Korslund Lars","CK JU 071 aud"
"KJ-212-1 forel uke 4 man ",2015-01-19,15:15,2015-01-19,17:00,"Mansoor Mohammad Azam","CK B2 004 aud"
"KJ-212-1 forel uke 4 tirs",2015-01-20,08:15,2015-01-20,10:00,"Mansoor Mohammad Azam","CK B2 006 aud "
"KJ-212-1 forel tirs",2015-01-20,10:15,2015-01-20,12:00,"Mansoor Mohammad Azam","CK JU 071 aud"
"KJ-113-1 forel tirs ",2015-01-20,16:15,2015-01-20,18:00,"Svendsen Monica Lian","CK J1 064 aud"
"KJ-113-1 forel ons",2015-01-21,08:15,2015-01-21,09:00,"Svendsen Monica Lian","CK J1 064 aud"
"BIO113-1 forel ons",2015-01-21,09:15,2015-01-21,11:00,"Korslund Lars","CK I1 066 aud"
"BIO205/BIO202 forel uke 2-5 ",2015-01-22,10:15,2015-01-22,12:00,"Olsen Yngvar Asbjørn","CK J1 064 aud"
"BIO113-1 gr uke 4.6.10.12.16",2015-01-23,12:15,2015-01-23,14:00,"Korslund Lars","CK JK 031, CK JK 032, CK JK 033, CK J1 032, CK J1 057"
"KJ-113-1 lab forel man",2015-01-26,08:15,2015-01-26,09:00,"Svendsen Monica Lian","CK I1 066 aud"
"BIO113-1 forel man",2015-01-26,09:15,2015-01-26,11:00,"Korslund Lars","CK JU 071 aud"
"KJ-212-1 forel tirs",2015-01-27,10:15,2015-01-27,12:00,"Mansoor Mohammad Azam","CK JU 071 aud"
"BIO113-1 lab tirs",2015-01-27,12:15,2015-01-27,15:00,"Korslund Lars","CK J1 001 biol"
"BIO113-1 pc lab tirs",2015-01-27,12:15,2015-01-27,15:00,"Korslund Lars","CK JK 007 pclab"
"KJ-113-1 forel tirs ",2015-01-27,16:15,2015-01-27,18:00,"Svendsen Monica Lian","CK J1 064 aud"
"KJ-113-1 forel ons",2015-01-28,08:15,2015-01-28,09:00,"Svendsen Monica Lian","CK J1 064 aud"
"BIO113-1 forel ons",2015-01-28,09:15,2015-01-28,11:00,"Korslund Lars","CK I1 066 aud"
"KJ-212-1 forel tors",2015-01-29,08:15,2015-01-29,10:00,"Mansoor Mohammad Azam","CK J1 064 aud"
"BIO205/BIO202 forel uke 2-5 ",2015-01-29,10:15,2015-01-29,12:00,"Olsen Yngvar Asbjørn","CK J1 064 aud"
"KJ-212-1 forel fred",2015-01-30,10:15,2015-01-30,12:00,"Mansoor Mohammad Azam","CK H1 058 aud"
"KJ-113-1 lab gr 5 fre",2015-01-30,12:15,2015-01-30,16:00,"Svendsen Monica Lian","CK JU 017 kjemi"
"BIO113-1 forel man",2015-02-02,09:15,2015-02-02,11:00,"Korslund Lars","CK JU 071 aud"
