Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-SPA106",2015-01-08,09:15,2015-01-08,12:00,"Drange Eli-Marie Danbolt","CK F2 007 sem"
"-SPA106 språklab",2015-01-08,10:15,2015-01-08,12:00,"Drange Eli-Marie Danbolt","CK F2 003 sprlab"
"-SPA106",2015-01-12,12:15,2015-01-12,15:00,"Drange Eli-Marie Danbolt","CK F2 007 sem"
"-SPA106 språklab",2015-01-12,13:15,2015-01-12,15:00,"Drange Eli-Marie Danbolt","CK F2 003 sprlab"
"-SPA106",2015-01-15,09:15,2015-01-15,12:00,"Drange Eli-Marie Danbolt","CK F2 007 sem"
"-SPA106 språklab",2015-01-15,10:15,2015-01-15,12:00,"Drange Eli-Marie Danbolt","CK F2 003 sprlab"
"-Litteratur og kultur i Latin-Amerika og Spania (HiT)",2015-01-16,12:15,2015-01-16,16:00,"","CK F2 008 sem"
"-SPA106",2015-01-19,12:15,2015-01-19,15:00,"Drange Eli-Marie Danbolt","CK F2 007 sem"
"-SPA106 språklab",2015-01-19,13:15,2015-01-19,15:00,"Drange Eli-Marie Danbolt","CK F2 003 sprlab"
"-SPA106",2015-01-22,09:15,2015-01-22,12:00,"Drange Eli-Marie Danbolt","CK F2 007 sem"
"-SPA106 språklab",2015-01-22,10:15,2015-01-22,12:00,"Drange Eli-Marie Danbolt","CK F2 003 sprlab"
"-SPA106",2015-01-26,12:15,2015-01-26,15:00,"Drange Eli-Marie Danbolt","CK F2 007 sem"
"-SPA106 språklab",2015-01-26,13:15,2015-01-26,15:00,"Drange Eli-Marie Danbolt","CK F2 003 sprlab"
"-SPA106",2015-01-29,09:15,2015-01-29,12:00,"Drange Eli-Marie Danbolt","CK F2 007 sem"
"-SPA106 språklab",2015-01-29,10:15,2015-01-29,12:00,"Drange Eli-Marie Danbolt","CK F2 003 sprlab"
"-Litteratur og kultur i Latin-Amerika og Spania (HiT)",2015-01-30,12:15,2015-01-30,16:00,"","CK F2 008 sem"
"-SPA106",2015-02-02,12:15,2015-02-02,15:00,"Drange Eli-Marie Danbolt","CK F2 007 sem"
"-SPA106 språklab",2015-02-02,13:15,2015-02-02,15:00,"Drange Eli-Marie Danbolt","CK F2 003 sprlab"
"-SPA106",2015-02-05,09:15,2015-02-05,12:00,"Drange Eli-Marie Danbolt","CK F2 007 sem"
"-SPA106 språklab",2015-02-05,10:15,2015-02-05,12:00,"Drange Eli-Marie Danbolt","CK F2 003 sprlab"
"-Litteratur og kultur i Latin-Amerika og Spania (HiT)",2015-02-06,12:15,2015-02-06,16:00,"","CK F2 008 sem"
"-SPA106",2015-02-23,12:15,2015-02-23,15:00,"Drange Eli-Marie Danbolt","CK F2 007 sem"
"-SPA106 språklab",2015-02-23,13:15,2015-02-23,15:00,"Drange Eli-Marie Danbolt","CK F2 003 sprlab"
"-SPA106",2015-02-26,09:15,2015-02-26,12:00,"Drange Eli-Marie Danbolt","CK F2 007 sem"
"-SPA106 språklab",2015-02-26,10:15,2015-02-26,12:00,"Drange Eli-Marie Danbolt","CK F2 003 sprlab"
"-Litteratur og kultur i Latin-Amerika og Spania (HiT)",2015-02-27,12:15,2015-02-27,16:00,"","CK F2 008 sem"
"-SPA106",2015-03-02,12:15,2015-03-02,15:00,"Drange Eli-Marie Danbolt","CK F2 007 sem"
"-SPA106 språklab",2015-03-02,13:15,2015-03-02,15:00,"Drange Eli-Marie Danbolt","CK F2 003 sprlab"
"-SPA106",2015-03-05,09:15,2015-03-05,12:00,"Drange Eli-Marie Danbolt","CK F2 007 sem"
"-SPA106 språklab",2015-03-05,10:15,2015-03-05,12:00,"Drange Eli-Marie Danbolt","CK F2 003 sprlab"
"-Litteratur og kultur i Latin-Amerika og Spania (HiT)",2015-03-06,12:15,2015-03-06,16:00,"","CK F2 008 sem"
"-SPA106",2015-03-09,12:15,2015-03-09,15:00,"Drange Eli-Marie Danbolt","CK F2 007 sem"
"-SPA106 språklab",2015-03-09,13:15,2015-03-09,15:00,"Drange Eli-Marie Danbolt","CK F2 003 sprlab"
"-SPA106",2015-03-12,09:15,2015-03-12,12:00,"Drange Eli-Marie Danbolt","CK F2 007 sem"
"-SPA106 språklab",2015-03-12,10:15,2015-03-12,12:00,"Drange Eli-Marie Danbolt","CK F2 003 sprlab"
"-SPA106",2015-03-16,12:15,2015-03-16,15:00,"Drange Eli-Marie Danbolt","CK F2 007 sem"
"-SPA106 språklab",2015-03-16,13:15,2015-03-16,15:00,"Drange Eli-Marie Danbolt","CK F2 003 sprlab"
"-SPA106",2015-03-19,09:15,2015-03-19,12:00,"Drange Eli-Marie Danbolt","CK F2 007 sem"
"-SPA106 språklab",2015-03-19,10:15,2015-03-19,12:00,"Drange Eli-Marie Danbolt","CK F2 003 sprlab"
"-Litteratur og kultur i Latin-Amerika og Spania (HiT)",2015-03-20,12:15,2015-03-20,17:00,"","CK F2 008 sem"
"-SPA106",2015-03-23,12:15,2015-03-23,15:00,"Drange Eli-Marie Danbolt","CK F2 007 sem"
"-SPA106 språklab",2015-03-23,13:15,2015-03-23,15:00,"Drange Eli-Marie Danbolt","CK F2 003 sprlab"
"-SPA106",2015-03-26,09:15,2015-03-26,12:00,"Drange Eli-Marie Danbolt","CK F2 007 sem"
"-SPA106 språklab",2015-03-26,10:15,2015-03-26,12:00,"Drange Eli-Marie Danbolt","CK F2 003 sprlab"
"-SPA106",2015-04-09,09:15,2015-04-09,12:00,"Drange Eli-Marie Danbolt","CK F2 007 sem"
"-SPA106 språklab",2015-04-09,10:15,2015-04-09,12:00,"Drange Eli-Marie Danbolt","CK F2 003 sprlab"
"-SPA106",2015-04-13,12:15,2015-04-13,15:00,"Drange Eli-Marie Danbolt","CK F2 007 sem"
"-SPA106 språklab",2015-04-13,13:15,2015-04-13,15:00,"Drange Eli-Marie Danbolt","CK F2 003 sprlab"
"-Litteratur og kultur i Latin-Amerika og Spania (HiT)",2015-04-17,12:15,2015-04-17,16:00,"","CK F2 008 sem"
"-SPA106",2015-04-20,12:15,2015-04-20,15:00,"Drange Eli-Marie Danbolt","CK F2 007 sem"
"-SPA106 språklab",2015-04-20,13:15,2015-04-20,15:00,"Drange Eli-Marie Danbolt","CK F2 003 sprlab"
"-SPA106",2015-04-23,09:15,2015-04-23,12:00,"Drange Eli-Marie Danbolt","CK F2 007 sem"
"-SPA106 språklab",2015-04-23,10:15,2015-04-23,12:00,"Drange Eli-Marie Danbolt","CK F2 003 sprlab"
"-Litteratur og kultur i Latin-Amerika og Spania (HiT)",2015-04-24,12:15,2015-04-24,17:00,"","CK F2 008 sem"
