Subject,Start Date,Start Time,End Date,End Time,Description,Location
"SY-301-G 05.01",2015-01-05,13:15,2015-01-05,15:00,"Dale, Jan Gunnar","CG A2 135 aud"
"SY-301-G 06.01",2015-01-06,09:15,2015-01-06,14:00,"Krøger, Elsebeth","CG x FOU-aud"
"SY-301-G 07.01",2015-01-07,09:15,2015-01-07,13:00,"Steen, June Jacobsen","CG x FOU-aud"
"SY-301-G 08.01",2015-01-08,11:15,2015-01-08,14:00,"Dale, Jan Gunnar","CG A2 135 aud"
"SY-301-G 12.01",2015-01-12,09:15,2015-01-12,14:00,"Bergkåsa, Anne Mari ","CG A2 135 aud"
"SY-301-G 13.01",2015-01-13,11:15,2015-01-13,14:00,"Skaar, Ragnhild","CG A2 135 aud"
"SY-301-G 14.01",2015-01-14,12:15,2015-01-14,16:00,"Haraldstad, Kristin","CG A2 135 aud"
"SY-301-G 15.01",2015-01-15,08:15,2015-01-15,13:00,"Bergkåsa, Anne Mari ","CG A2 135 aud"
"SY-301-G 19.01",2015-01-19,08:15,2015-01-19,13:00,"Dale, Jan Gunnar","CG A2 135 aud"
"SY-301-G 21.01",2015-01-21,12:15,2015-01-21,15:00,"Haraldstad, Kristin","CG x FOU-aud"
"SY-301-G 26.01",2015-01-26,09:15,2015-01-26,15:00,"","CG F 203 sem, CG A2 085 aud, CG D3 052 sem, CG D3 053 sem"
"ME-301-G 11.02",2015-02-11,09:15,2015-02-11,13:00,"Sævareid Hans Inge","CG A2 135 aud"
"ME-301-G 12.02",2015-02-12,09:15,2015-02-12,13:00,"Sævareid Hans Inge","CG A2 135 aud"
"ME-301-G 13.02",2015-02-13,09:15,2015-02-13,13:00,"Sævareid Hans Inge","CG A2 135 aud"
"ME-301-G 16.02",2015-02-16,08:15,2015-02-16,12:00,"Sævareid Hans Inge","CG A2 135 aud"
"ME-301-G 17.02",2015-02-17,08:15,2015-02-17,12:00,"Sævareid Hans Inge","CG A2 135 aud"
"ME-301-G 18.02",2015-02-18,08:15,2015-02-18,12:00,"Sævareid Hans Inge","CG A2 135 aud"
"ME-301-G 18.02",2015-02-18,13:15,2015-02-18,15:00,"Stensrud, Kirsten ","CG A2 135 aud"
"ME-301-G 19.02",2015-02-19,08:15,2015-02-19,11:00,"Sævareid Hans Inge","CG A2 135 aud"
"ME-301-G 20.02",2015-02-20,09:15,2015-02-20,11:00,"Johannesen, Berit","CG A2 135 aud"
"ME-301-G 02.03",2015-03-02,09:15,2015-03-02,12:00,"Thiedemann, Inger J. ","CG C3 072 aud"
