Subject,Start Date,Start Time,End Date,End Time,Description,Location
-MA-146 for,2015-01-05,12:15,2015-01-05,14:00,Kjelsrud Henrik Aadland,CK B2 004 aud 
-MA-146 for,2015-01-06,08:15,2015-01-06,12:00,Kjelsrud Henrik Aadland,CK B2 004 aud 
-MA-147 gr,2015-01-08,09:15,2015-01-08,12:00,Knutson Peder Kristian,CK F2 017. CK F2 018. CK F2 021. CK F2 022. CK F2 023. CK F2 024. CK F2 026. CK F2 012. CK F2 019. CK F1 013. CK F1 012. CK F2 016
-MA-147 for,2015-01-08,12:15,2015-01-08,14:00,Knutson Peder Kristian,CK B2 004 aud 
-MA-147 for,2015-01-09,08:15,2015-01-09,12:00,Knutson Peder Kristian,CK B2 004 aud 
-MA-146 gr,2015-01-12,09:15,2015-01-12,12:00,Kjelsrud Henrik Aadland,CK 47 101. CK 47 116. CK 47 102. CK 47 103. CK 47 104. CK 47 108. CK 47 109. CK 47 110. CK 47 117. CK 47 120. CK 47 121
-MA-146 for,2015-01-12,12:15,2015-01-12,14:00,Kjelsrud Henrik Aadland,CK B2 004 aud 
-MA-146 for,2015-01-13,08:15,2015-01-13,12:00,Kjelsrud Henrik Aadland,CK B2 004 aud 
-MA-147 gr,2015-01-15,09:15,2015-01-15,12:00,Knutson Peder Kristian,CK F2 017. CK F2 018. CK F2 021. CK F2 022. CK F2 023. CK F2 024. CK F2 026. CK F2 012. CK F2 019. CK F1 013. CK F1 012. CK F2 016
-MA-147 for,2015-01-15,12:15,2015-01-15,14:00,Knutson Peder Kristian,CK B2 004 aud 
-MA-147 for,2015-01-16,08:15,2015-01-16,12:00,Knutson Peder Kristian,CK B2 004 aud 
-MA-146 gr,2015-01-19,09:15,2015-01-19,12:00,Kjelsrud Henrik Aadland,CK 47 101. CK 47 116. CK 47 102. CK 47 103. CK 47 104. CK 47 108. CK 47 109. CK 47 110. CK 47 117. CK 47 120. CK 47 121
-MA-146 for,2015-01-19,12:15,2015-01-19,14:00,Kjelsrud Henrik Aadland,CK B2 004 aud 
-MA-146 for,2015-01-20,08:15,2015-01-20,12:00,Kjelsrud Henrik Aadland,CK B2 004 aud 
-MA-147 "leksehjelp" uke 4.5.6,2015-01-21,09:15,2015-01-21,12:00,,CK 48 106 sem
