Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-HEL204 for",2015-08-19,12:15,2015-08-19,14:00,"Kiland Charlotte","CK IU 069 aud"
"-HEL204 gr",2015-08-19,14:15,2015-08-19,16:00,"Kiland Charlotte","CK IK 023, CK IK 028, CK IU 056, CK IU 057, CK IU 059"
"-HEL204 for",2015-08-21,08:15,2015-08-21,10:00,"Kiland Charlotte","CK IU 069 aud"
"-HEL204 gr",2015-08-21,10:15,2015-08-21,12:00,"Kiland Charlotte","CK 51 103, CK 51 122a, CK 51 122b, CK 51 122c, CK 51 122d"
"-HEL204 for",2015-08-26,12:15,2015-08-26,14:00,"Kiland Charlotte","CK IU 069 aud"
"-HEL204 gr",2015-08-26,14:15,2015-08-26,16:00,"Kiland Charlotte","CK IK 023, CK IK 028, CK IU 056, CK IU 057, CK IU 059"
"-HEL204 for",2015-08-28,08:15,2015-08-28,10:00,"Kiland Charlotte","CK IU 069 aud"
"-HEL204 gr",2015-08-28,10:15,2015-08-28,12:00,"Kiland Charlotte","CK 51 103, CK 51 122a, CK 51 122b, CK 51 122c, CK 51 122d"
"-HEL204 for",2015-09-02,12:15,2015-09-02,14:00,"Kiland Charlotte","CK IU 069 aud"
"-HEL204 gr",2015-09-02,14:15,2015-09-02,16:00,"Kiland Charlotte","CK IK 023, CK IK 028, CK IU 056, CK IU 057, CK IU 059"
"-HEL204 for",2015-09-04,08:15,2015-09-04,10:00,"Kiland Charlotte","CK IU 069 aud"
"-HEL204 gr",2015-09-04,10:15,2015-09-04,12:00,"Kiland Charlotte","CK 51 103, CK 51 122a, CK 51 122b, CK 51 122c, CK 51 122d"
"-HEL204 for",2015-09-09,12:15,2015-09-09,14:00,"Kiland Charlotte","CK IU 069 aud"
"-HEL204 gr",2015-09-09,14:15,2015-09-09,16:00,"Kiland Charlotte","CK IK 023, CK IK 028, CK IU 056, CK IU 057, CK IU 059"
"-HEL204 for",2015-09-11,08:15,2015-09-11,10:00,"Kiland Charlotte","CK IU 069 aud"
"-HEL204 gr",2015-09-11,10:15,2015-09-11,12:00,"Kiland Charlotte","CK 51 103, CK 51 122a, CK 51 122b, CK 51 122c, CK 51 122d"
"-HEL204 for",2015-09-16,12:15,2015-09-16,14:00,"Kiland Charlotte","CK IU 069 aud"
"-HEL204 gr",2015-09-16,14:15,2015-09-16,16:00,"Kiland Charlotte","CK IK 023, CK IK 028, CK IU 056, CK IU 057, CK IU 059"
"-HEL204 for",2015-09-18,08:15,2015-09-18,10:00,"Kiland Charlotte","CK IU 069 aud"
"-HEL204 gr",2015-09-18,10:15,2015-09-18,12:00,"Kiland Charlotte","CK 51 103, CK 51 122a, CK 51 122b, CK 51 122c, CK 51 122d"
"-HEL204 for",2015-09-23,12:15,2015-09-23,14:00,"Kiland Charlotte","CK IU 069 aud"
"-HEL204 gr",2015-09-23,14:15,2015-09-23,16:00,"Kiland Charlotte","CK IK 023, CK IK 028, CK IU 056, CK IU 057, CK IU 059"
"-HEL204 for",2015-09-25,08:15,2015-09-25,10:00,"Kiland Charlotte","CK IU 069 aud"
"-HEL204 gr",2015-09-25,10:15,2015-09-25,12:00,"Kiland Charlotte","CK 51 103, CK 51 122a, CK 51 122b, CK 51 122c, CK 51 122d"
"-HEL204 for",2015-10-07,12:15,2015-10-07,14:00,"Kiland Charlotte","CK IU 069 aud"
"-HEL204 gr",2015-10-07,14:15,2015-10-07,16:00,"Kiland Charlotte","CK IK 023, CK IK 028, CK IU 056, CK IU 057, CK IU 059"
"-HEL204 for",2015-10-09,08:15,2015-10-09,10:00,"Kiland Charlotte","CK IU 069 aud"
"-HEL204 gr",2015-10-09,10:15,2015-10-09,12:00,"Kiland Charlotte","CK 51 103, CK 51 122a, CK 51 122b, CK 51 122c, CK 51 122d"
"-HEL204 for",2015-10-14,12:15,2015-10-14,14:00,"Kiland Charlotte","CK IU 069 aud"
"-HEL204 gr",2015-10-14,14:15,2015-10-14,16:00,"Kiland Charlotte","CK IK 023, CK IK 028, CK IU 056, CK IU 057, CK IU 059"
"-HEL204 for",2015-10-21,12:15,2015-10-21,14:00,"Kiland Charlotte","CK IU 069 aud"
"-HEL204 gr",2015-10-21,14:15,2015-10-21,16:00,"Kiland Charlotte","CK IK 023, CK IK 028, CK IU 056, CK IU 057, CK IU 059"
"-HEL204 for",2015-10-23,08:15,2015-10-23,10:00,"Kiland Charlotte","CK IU 069 aud"
"-HEL204 gr",2015-10-23,10:15,2015-10-23,12:00,"Kiland Charlotte","CK 51 103, CK 51 122a, CK 51 122b, CK 51 122c, CK 51 122d"
