Subject,Start Date,Start Time,End Date,End Time,Description,Location
"MUR117/MU-152 Komp.arr.(2fr/2ur) uke.33.34.36.40.41.44.47",2015-08-13,09:15,2015-08-13,11:00,"Bråthen Tore","CK B2 014 sem"
"MUR200/MUR210/MUR306/MU-801/MUR310 prosjekt band vokal",2015-08-14,12:15,2015-08-14,14:00,"","CK K1 039/samspillsal 2"
"MUR116 Gehør",2015-08-17,09:15,2015-08-17,11:00,"Mjåland Einar","CK G1 012"
"MUR107 estetikk og vitenskaspsteori (2r)",2015-08-17,11:15,2015-08-17,13:00,"Gunvaldsen Erik, Tønsberg Knut","CK G1 018"
"MUR200/MUR310/MU-301/MU-201 Samspill B. sal 5",2015-08-17,13:15,2015-08-17,15:00,"Nypan Øyvind",""
"MUR200/MUR310/MU-301/MU-201 Samspill D. sal 6",2015-08-17,13:15,2015-08-17,15:00,"",""
"MUR200/MU-210/MUR310/MU-301 Samspill A",2015-08-17,13:15,2015-08-17,15:00,"Rasch Bjørn Ole","CK K1 039/samspillsal 2"
"MUR200/MUR106/MU-210/MU-300 Samspill C",2015-08-17,15:15,2015-08-17,17:00,"Bråthen Tore, Hoven Marius","CK K1 039/samspillsal 2"
"MUR200/MUR310/MU-210/MU-301 sampill E. tirs",2015-08-18,15:15,2015-08-18,17:00,"Kristensen Rolf","CK K1 039/samspillsal 2"
"MUR117/MU-152 Komp.arr.(2fr/2ur) uke.33.34.36.40.41.44.47",2015-08-20,09:15,2015-08-20,11:00,"Bråthen Tore","CK B2 014 sem"
"MUR200/MU-210/MUR310/MU-301 Samspill F. studio",2015-08-20,14:15,2015-08-20,16:00,"Rasmussen Bruce C",""
"MUR200/MUR300/MU-210/MU-300 Bom-Bom. sal 6",2015-08-20,14:15,2015-08-20,16:00,"Rasmussen Bruce C",""
"MUR116 Gehør",2015-08-24,09:15,2015-08-24,11:00,"Mjåland Einar","CK G1 012"
"MUR107 estetikk og vitenskaspsteori (2r)",2015-08-24,11:15,2015-08-24,13:00,"Gunvaldsen Erik, Tønsberg Knut","CK G1 018"
"MUR200/MUR310/MU-301/MU-201 Samspill B. sal 5",2015-08-24,13:15,2015-08-24,15:00,"Nypan Øyvind",""
"MUR200/MUR310/MU-301/MU-201 Samspill D. sal 6",2015-08-24,13:15,2015-08-24,15:00,"",""
"MUR200/MU-210/MUR310/MU-301 Samspill A",2015-08-24,13:15,2015-08-24,15:00,"Rasch Bjørn Ole","CK K1 039/samspillsal 2"
"MUR200/MUR106/MU-210/MU-300 Samspill C",2015-08-24,15:15,2015-08-24,17:00,"Bråthen Tore, Hoven Marius","CK K1 039/samspillsal 2"
"MUR200/MUR310/MU-210/MU-301 sampill E. tirs",2015-08-25,15:15,2015-08-25,17:00,"Kristensen Rolf","CK K1 039/samspillsal 2"
"MUR117/MU-152 komp.arr.(2fr/2ur) uke 35.39.42.45",2015-08-27,09:15,2015-08-27,11:00,"Bråthen Tore","CK B3 004 sem "
"MUR200/MU-210/MUR310/MU-301 Samspill F. studio",2015-08-27,14:15,2015-08-27,16:00,"Rasmussen Bruce C",""
"MUR200/MUR300/MU-210/MU-300 Bom-Bom. sal 6",2015-08-27,14:15,2015-08-27,16:00,"Rasmussen Bruce C",""
"MUR200/MUR210/MUR306/MU-801/MUR310 prosjekt band vokal",2015-08-28,12:15,2015-08-28,14:00,"","CK K1 039/samspillsal 2"
"MUR116 Gehør",2015-08-31,09:15,2015-08-31,11:00,"Mjåland Einar","CK G1 012"
"MUR107 estetikk og vitenskaspsteori (2r)",2015-08-31,11:15,2015-08-31,13:00,"Gunvaldsen Erik, Tønsberg Knut","CK G1 018"
"MUR200/MUR310/MU-301/MU-201 Samspill B. sal 5",2015-08-31,13:15,2015-08-31,15:00,"Nypan Øyvind",""
"MUR200/MUR310/MU-301/MU-201 Samspill D. sal 6",2015-08-31,13:15,2015-08-31,15:00,"",""
"MUR200/MU-210/MUR310/MU-301 Samspill A",2015-08-31,13:15,2015-08-31,15:00,"Rasch Bjørn Ole","CK K1 039/samspillsal 2"
"MUR200/MUR106/MU-210/MU-300 Samspill C",2015-08-31,15:15,2015-08-31,17:00,"Bråthen Tore, Hoven Marius","CK K1 039/samspillsal 2"
"MUR200/MUR310/MU-210/MU-301 sampill E. tirs",2015-09-01,15:15,2015-09-01,17:00,"Kristensen Rolf","CK K1 039/samspillsal 2"
"MUR117/MU-152 Komp.arr.(2fr/2ur) uke.33.34.36.40.41.44.47",2015-09-03,09:15,2015-09-03,11:00,"Bråthen Tore","CK B2 014 sem"
"MUR200/MU-210/MUR310/MU-301 Samspill F. studio",2015-09-03,14:15,2015-09-03,16:00,"Rasmussen Bruce C",""
"MUR200/MUR300/MU-210/MU-300 Bom-Bom. sal 6",2015-09-03,14:15,2015-09-03,16:00,"Rasmussen Bruce C",""
"MUR200/MUR210/MUR306/MU-801/MUR310 prosjekt band vokal",2015-09-04,12:15,2015-09-04,14:00,"","CK K1 039/samspillsal 2"
